                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7037,                 2.8356,                 1.5242,                 0.6557,                   0.67,                0.72802,                0.53609,                0.90582,                 1.9856,                 0.9037,             0.00046998,             0.00046998,             0.00046998
                      1,                 1.6984,                 2.1969,                 1.4841,                0.64488,                0.67285,                0.73657,                0.52143,                 1.0379,                 1.9755,                  1.017,             0.00093695,             0.00093695,             0.00093695
                      2,                 1.6476,                  2.042,                 1.4694,                0.81224,                 0.7465,                0.81303,                0.57091,                  1.043,                 1.5794,                 1.0266,              0.0013945,              0.0013945,              0.0013945
                      3,                 1.6845,                 2.0191,                 1.5134,                0.66031,                0.76981,                0.78135,                0.58411,                0.88898,                 1.5707,                0.97737,              0.0013866,              0.0013866,              0.0013866
                      4,                  1.642,                  1.901,                 1.4749,                0.80102,                0.76463,                0.88271,                0.64538,                0.92067,                 1.2984,                 1.0194,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.6316,                 1.8927,                 1.4653,                0.82811,                0.78667,                0.83177,                0.63199,                0.89606,                 1.2363,                0.99345,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.6001,                 1.8228,                 1.4324,                0.74709,                0.80523,                0.87339,                0.61485,                 1.0642,                 1.0512,                 1.1156,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.5502,                 1.7247,                 1.3974,                0.80106,                 0.9548,                0.90532,                0.72186,                0.80446,                0.86859,                0.99025,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.5267,                 1.6639,                 1.4031,                0.90067,                0.92535,                0.93262,                0.71552,                0.89005,                0.85217,                 1.0097,                0.00133,                0.00133,                0.00133
                      9,                 1.5235,                 1.6306,                 1.3762,                0.82228,                0.85219,                0.91693,                0.72823,                0.80936,                0.87523,                0.95434,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4945,                 1.6044,                 1.3703,                 0.7803,                  0.841,                0.94616,                0.74658,                 0.7933,                0.86315,                0.94876,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.4889,                 1.5931,                 1.3709,                0.93341,                0.93667,                 0.9652,                 0.7725,                0.78074,                0.63017,                0.93618,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.4949,                 1.6017,                 1.3784,                0.94062,                 0.9372,                0.94438,                0.73715,                0.83292,                0.66745,                0.95808,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.4848,                 1.5963,                 1.3805,                0.95315,                0.86147,                0.92303,                0.74179,                0.81626,                0.80332,                0.97882,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.4544,                 1.5323,                 1.3553,                0.92213,                0.85697,                0.93786,                0.73342,                0.82336,                0.74361,                0.96858,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.4652,                 1.5582,                 1.3644,                0.96226,                 0.9571,                0.96062,                0.77474,                 0.7759,                0.64953,                0.94125,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.4289,                  1.525,                 1.3481,                0.93819,                0.95343,                0.94839,                0.76369,                0.76351,                0.58155,                0.93543,              0.0012168,              0.0012168,              0.0012168
                     17,                  1.442,                 1.4906,                 1.3352,                0.92563,                0.97691,                0.97244,                0.76446,                0.77452,                0.52027,                0.94486,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.4386,                 1.5019,                 1.3325,                0.89496,                0.92354,                0.94979,                0.76511,                0.73984,                0.57791,                0.92329,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.4005,                  1.464,                 1.3265,                0.93744,                0.96333,                0.96734,                0.75856,                 0.7946,                0.55528,                0.96252,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.4162,                 1.4653,                 1.3324,                 0.9625,                0.95137,                0.96847,                0.77901,                0.76483,                0.56969,                0.94418,              0.0011602,              0.0011602,              0.0011602
                     21,                  1.384,                 1.4121,                 1.3069,                0.92281,                 0.9473,                0.96981,                0.79692,                0.70649,                0.59798,                0.91324,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.3921,                 1.4098,                 1.3086,                0.93521,                 0.9377,                0.96836,                0.78456,                0.76286,                0.54984,                0.93816,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4183,                  1.461,                 1.3299,                0.95782,                0.93592,                0.98197,                0.78854,                0.80548,                 0.5542,                0.98084,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.3539,                 1.3531,                 1.2834,                0.93911,                0.93667,                0.95737,                0.76706,                0.72636,                0.62325,                0.92381,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.3711,                 1.3838,                  1.296,                0.93312,                0.95278,                0.97644,                 0.7832,                0.79438,                0.55334,                0.96003,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.3802,                 1.3854,                 1.3055,                0.87308,                0.82833,                0.94723,                0.76856,                0.72139,                0.67914,                 0.9321,              0.0010753,              0.0010753,              0.0010753
                     27,                  1.371,                 1.4087,                 1.2942,                0.95272,                0.94584,                 0.9785,                0.79438,                0.74013,                0.53743,                0.94073,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.3587,                 1.3711,                 1.2904,                0.96505,                0.95333,                0.96839,                0.79528,                0.71019,                0.51853,                0.92536,               0.001047,               0.001047,               0.001047
                     29,                 1.3287,                  1.326,                 1.2725,                0.95203,                   0.98,                 0.9742,                0.79439,                0.73898,                0.48292,                 0.9259,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.3371,                 1.3368,                 1.2782,                0.95984,                0.95333,                0.97034,                0.79227,                0.76669,                0.50504,                0.92826,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.3042,                 1.3223,                 1.2579,                0.96006,                   0.97,                0.97768,                 0.7906,                0.72889,                0.47836,                0.92072,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.3401,                 1.3565,                 1.2806,                0.94261,                0.97167,                0.98427,                0.81512,                0.70389,                0.47415,                0.91518,             0.00099044,             0.00099044,             0.00099044
                     33,                  1.323,                 1.3386,                 1.2741,                0.95042,                0.96213,                 0.9724,                0.79924,                0.72112,                0.50343,                0.92017,             0.00097629,             0.00097629,             0.00097629
                     34,                  1.321,                 1.3035,                  1.271,                0.96037,                   0.98,                0.98079,                0.80479,                0.70298,                0.47251,                 0.9193,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3088,                  1.321,                 1.2766,                0.94442,                0.93839,                0.97283,                0.79117,                0.75421,                0.52074,                0.94115,               0.000948,               0.000948,               0.000948
                     36,                 1.3016,                 1.3003,                 1.2703,                0.92057,                0.96274,                0.98178,                0.81353,                0.73183,                0.54016,                0.91651,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2694,                 1.2831,                 1.2435,                0.96783,                   0.98,                0.97881,                0.80811,                0.74618,                 0.4637,                0.93432,              0.0009197,              0.0009197,              0.0009197
