                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80515,                  2.316,                 1.0886,                0.53715,                0.41968,                 0.5126,                0.41164,                0.73162,                 2.6882,                 1.0694,             0.00054304,             0.00054304,             0.00054304
                      1,                0.68377,                 1.5306,                  0.982,                0.27084,                0.38629,                0.19387,                0.10781,                 1.1052,                  3.633,                 1.3121,               0.001077,               0.001077,               0.001077
                      2,                0.75805,                 1.4084,                 1.0109,                0.73425,                0.56382,                0.64228,                0.46589,                0.93543,                 2.4343,                 1.3183,              0.0015889,              0.0015889,              0.0015889
                      3,                0.70168,                 1.2224,                 1.0005,                0.70125,                0.25813,                0.25044,                0.14976,                 1.3091,                 3.4051,                 1.4572,               0.001568,               0.001568,               0.001568
                      4,                0.68021,                 1.1313,                0.98108,                0.56805,                0.53313,                0.52336,                0.38849,                 0.9292,                 2.4921,                 1.1958,               0.001568,               0.001568,               0.001568
                      5,                0.66353,                0.99731,                0.97257,                0.72804,                0.72704,                0.71485,                0.53341,                0.87913,                 1.3784,                 1.0853,               0.001535,               0.001535,               0.001535
                      6,                0.64138,                0.91553,                0.96562,                0.80741,                 0.8398,                0.86763,                0.70882,                0.70941,                 1.2028,                0.98947,               0.001502,               0.001502,               0.001502
                      7,                0.62936,                0.81373,                0.95429,                0.76138,                0.72603,                0.80265,                0.64632,                0.72525,                 1.1301,                 1.0449,               0.001469,               0.001469,               0.001469
                      8,                0.61289,                0.82102,                 0.9435,                0.84617,                0.88364,                0.91242,                0.74877,                0.68022,                0.96873,                0.99815,               0.001436,               0.001436,               0.001436
                      9,                0.57905,                0.75575,                0.92789,                0.80507,                0.80942,                0.89688,                0.74355,                0.62839,                 1.0909,                0.95813,              0.0014029,              0.0014029,              0.0014029
                     10,                0.58723,                0.71421,                 0.9389,                0.88218,                0.90423,                0.94402,                 0.8089,                0.62157,                0.76074,                 0.9529,              0.0013699,              0.0013699,              0.0013699
                     11,                0.58458,                 0.6999,                0.93889,                0.91276,                0.86227,                0.95421,                0.81276,                 0.6232,                0.69983,                0.94543,              0.0013369,              0.0013369,              0.0013369
                     12,                0.56297,                0.65114,                0.93279,                0.87878,                 0.8857,                0.93037,                0.76324,                0.67883,                0.72605,                0.96311,              0.0013039,              0.0013039,              0.0013039
